Park,,Rating out of 10,,Name,Scoreable Coaster Quantity
Alton Towers,,8.40,,Galactica,9
Alton Towers,,9.50,,Nemesis,9
Alton Towers,,8.10,,Oblivion,9
Alton Towers,,7.10,,Rita,9
Alton Towers,,3.90,,RMT,9
Alton Towers,,5.70,,Spinball,9
Alton Towers,,7.10,,Thirteen,9
Alton Towers,,8.50,,Smiler,9
Alton Towers,,7.70,,Wicker Man,9
Thorpe Park,,4.40,,Colossus,7
Thorpe Park,,0.70,,Flying Fish,7
Thorpe Park,,7.80,,Nemesis Inferno,7
Thorpe Park,,6.90,,Saw,7
Thorpe Park,,8.90,,Stealth,7
Thorpe Park,,8.40,,Swarm,7
Thorpe Park,,2.30,,TWD,7
Blackpool,,5.40,,Avalanche,10
Blackpool,,4.80,,Big Dipper,10
Blackpool,,5.10,,Big One,10
Blackpool,,2.50,,Blue Flyer,10
Blackpool,,4.50,,Grand National (Left),10
Blackpool,,5.20,,Grand National (Right),10
Blackpool,,9.10,,Icon,10
Blackpool,,1.60,,Infusion,10
Blackpool,,4.30,,Nick Streak,10
Blackpool,,5.40,,Revolution,10
Phantasialand,,9.10,,Black Mamba,8
Phantasialand,,7.60,,Colorado Adventure,8
Phantasialand,,3.00,,Crazy Bats,8
Phantasialand,,9.60,,FLY,8
Phantasialand,,5.50,,Raik,8
Phantasialand,,9.80,,Taron,8
Phantasialand,,7.70,,Winjas (Fear),8
Phantasialand,,7.60,,Winjas (Force),8
Liseberg,,9.40,,Balder,5
Liseberg,,9.80,,Helix,5
Liseberg,,8.00,,Lisebergbanan,5
Liseberg,,1.80,,Rabalder,5
Liseberg,,8.90,,Valkyria,5
Walibi Holland,,0.10,,Condor,6
Walibi Holland,,9.30,,Goliath,6
Walibi Holland,,8.60,,Lost Gravity,6
Walibi Holland,,3.70,,Speed of Sound,6
Walibi Holland,,9.90,,Untamed,6
Walibi Holland,,5.80,,Xpress,6
Energylandia,,8.90,,Abyssus,11
Energylandia,,4.80,,Boomerang,11
Energylandia,,6.80,,Dragon,11
Energylandia,,3.20,,Energus,11
Energylandia,,8.10,,Formula,11
Energylandia,,3.00,,Frida,11
Energylandia,,9.80,,Hyperion,11
Energylandia,,4.60,,Light Explorers,11
Energylandia,,3.40,,Rollercoaster Mayan,11
Energylandia,,0.00,,Viking,11
Energylandia,,10.00,,Zadra,11
Plopsaland,,1.00,,#LikeMe Coaster,7
Plopsaland,,8.10,,Anubis,7
Plopsaland,,2.50,,Draak,7
Plopsaland,,7.90,,Heidi,7
Plopsaland,,1.90,,K3 Roller Skater,7
Plopsaland,,9.90,,Ride to Happiness,7
Plopsaland,,3.80,,SuperSplash,7
Walibi Belgium,,4.90,,Calamity Mine,9
Walibi Belgium,,1.20,,Cobra,9
Walibi Belgium,,2.50,,Fun Pilot,9
Walibi Belgium,,9.90,,Kondaa,9
Walibi Belgium,,4.70,,Loup Garou,9
Walibi Belgium,,6.80,,Psyke Underground,9
Walibi Belgium,,7.60,,Pulsar,9
Walibi Belgium,,6.30,,Tiki Waka,9
Walibi Belgium,,0.50,,Vampire,9
Europa Park,,4.40,,Alpenexpress,12
Europa Park,,6.30,,Arthur,12
Europa Park,,4.90,,Atlantica,12
Europa Park,,8.60,,Blue Fire,12
Europa Park,,6.80,,Cancan Coaster,12
Europa Park,,5.30,,Euro Mir,12
Europa Park,,4.90,,Matterhorn Blitz,12
Europa Park,,4.90,,Pegasus,12
Europa Park,,5.40,,Poseidon,12
Europa Park,,3.80,,Schweizer Bobbahn,12
Europa Park,,8.70,,Silver Star,12
Europa Park,,9.00,,Wodan,12
PortAventura,,3.30,,Diablo,8
PortAventura,,8.20,,Dragon Khan,8
PortAventura,,6.70,,Furius Baco,8
PortAventura,,9.80,,Shambhala,8
PortAventura,,4.50,,Stampida (Blue),8
PortAventura,,4.60,,Stampida (Red),8
PortAventura,,2.00,,Tami-Tami,8
PortAventura,,3.70,,Tomahawk,8
Parque Warner,,8.10,,Batman,6
Parque Warner,,0.20,,Coaster Express,6
Parque Warner,,5.10,,Correcaminos,6
Parque Warner,,8.60,,Stunt Fall,6
Parque Warner,,9.10,,Superman,6
Parque Warner,,1.80,,Tom y Jerry,6
Parque de Atracciones,,7.60,,Abismo,5
Parque de Atracciones,,7.10,,Tarantula,5
Parque de Atracciones,,5.50,,TNT,5
Parque de Atracciones,,4.90,,Tornado,5
Parque de Atracciones,,2.60,,Vertigo,5
Efteling,,8.50,,Baron,8
Efteling,,8.20,,Joris (Vuur),8
Efteling,,8.20,,Joris (Water),8
Efteling,,4.80,,Max & Moritz (Max),8
Efteling,,4.60,,Max & Moritz (Moritz),8
Efteling,,5.40,,Python,8
Efteling,,7.00,,Vliegende Hollander,8
Efteling,,5.40,,Vogel Rok,8
Bobbejaanland,,3.20,,Bob Express,8
Bobbejaanland,,1.70,,Dream Catcher,8
Bobbejaanland,,8.40,,Fury,8
Bobbejaanland,,3.80,,Naga Bay,8
Bobbejaanland,,3.00,,Oki Doki,8
Bobbejaanland,,4.60,,Revolution,8
Bobbejaanland,,1.60,,Speedy Bob,8
Bobbejaanland,,4.90,,Typhoon,8
Toverland,,5.10,,Booster Bike,6
Toverland,,7.30,,Dwervelwind,6
Toverland,,9.20,,Fenix,6
Toverland,,4.80,,Maximus,6
Toverland,,2.40,,Toos-Express,6
Toverland,,8.90,,Troy,6
Movie Park Germany,,1.10,,Backyardigans,8
Movie Park Germany,,1.10,,Bandit,8
Movie Park Germany,,1.80,,Ghost Chasers,8
Movie Park Germany,,3.80,,Jimmy Neutron,8
Movie Park Germany,,6.70,,Studio Tour,8
Movie Park Germany,,0.30,,MP-Xpress,8
Movie Park Germany,,8.40,,Star Trek,8
Movie Park Germany,,7.30,,Van Helsing,8
Heide Park,,2.20,,Big Loop,8
Heide Park,,5.00,,Bobbahn,8
Heide Park,,8.90,,Colossos,8
Heide Park,,7.60,,Desert Race,8
Heide Park,,8.50,,Flug der Damonen,8
Heide Park,,3.00,,Grottenblitz,8
Heide Park,,7.90,,Krake,8
Heide Park,,0.10,,Limit,8
Hansa Park,,1.80,,Crazy Mine,6
Hansa Park,,9.60,,Karnan,6
Hansa Park,,8.70,,Novgorod,6
Hansa Park,,6.30,,Nessie,6
Hansa Park,,2.90,,Royal Scotsman,6
Hansa Park,,3.90,,Schlange von Midgard,6
Flamingo Land,,0.40,,Hero,5
Flamingo Land,,4.60,,Kumali,5
Flamingo Land,,4.80,,Mumbo Jumbo,5
Flamingo Land,,1.50,,Twistosaurus,5
Flamingo Land,,4.40,,Velocity,5
Tripsdrill,,6.50,,G'sengte Sau,6
Tripsdrill,,8.60,,Hals-uber-Kopf,6
Tripsdrill,,8.80,,Karacho,6
Tripsdrill,,6.00,,Mammut,6
Tripsdrill,,1.80,,Rasender,6
Tripsdrill,,5.10,,Volldampf,6
Parc Asterix,,1.10,,Goudurix,5
Parc Asterix,,9.30,,OzIris,5
Parc Asterix,,7.70,,Pegase,5
Parc Asterix,,4.90,,Trace du Hourra,5
Parc Asterix,,2.00,,Vol D'Icare,5
Gardaland,,0.60,,Blue Tornado,8
Gardaland,,5.30,,Fuga de Atlantide,8
Gardaland,,1.60,,Kung Fu Panda,8
Gardaland,,4.70,,Mammut,8
Gardaland,,8.50,,Oblivion TBH,8
Gardaland,,8.50,,Raptor,8
Gardaland,,1.20,,Sequoia,8
Gardaland,,2.20,,Shaman,8
Mirabilandia,,3.20,,Desmo (Left),8
Mirabilandia,,3.20,,Desmo (Right),8
Mirabilandia,,5.30,,Divertical,8
Mirabilandia,,1.60,,Gold Digger,8
Mirabilandia,,9.60,,iSpeed,8
Mirabilandia,,9.60,,Katun,8
Mirabilandia,,0.60,,Master Thai,8
Mirabilandia,,0.70,,Rexplorer,8
Djurs,,6.80,,DrageKongen,6
Djurs,,8.20,,Juvelen,6
Djurs,,9.30,,Piraten,6
Djurs,,5.20,,Skatteoen,6
Djurs,,5.50,,Thor's Hammer,6
Djurs,,1.30,,Vilde Honsejagt,6
Farup,,5.90,,Falken,6
Farup,,2.10,,Flagermusen,6
Farup,,7.90,,Lynet,6
Farup,,2.20,,Mine-Expressen,6
Farup,,7.30,,Orkanen,6
Farup,,6.00,,Saven,6
TusenFryd,,0.90,,Loopen,5
TusenFryd,,7.40,,Speed Monster,5
TusenFryd,,1.70,,Steampunk Hunters,5
TusenFryd,,3.50,,SuperSplash,5
TusenFryd,,5.90,,Thundercoaster,5
Linnanmaki,,4.70,,Kirnu,8
Linnanmaki,,2.60,,Linnunrata,8
Linnanmaki,,1.40,,Pikajuna,8
Linnanmaki,,5.80,,Salama,8
Linnanmaki,,10.00,,Taiga,8
Linnanmaki,,1.10,,Tulireki,8
Linnanmaki,,4.00,,Ukko,8
Linnanmaki,,6.80,,Vuoristorata,8
Bellewaerde,,1.20,,Boomerang,6
Bellewaerde,,2.70,,Dawson (Left),6
Bellewaerde,,2.70,,Dawson (Right),6
Bellewaerde,,5.70,,Huracan,6
Bellewaerde,,0.70,,Keverbaan,6
Bellewaerde,,6.50,,Wakala,6
Nigloland,,9.00,,Alpina Blitz,6
Nigloland,,2.70,,Descente en Schlitt,6
Nigloland,,3.60,,Goldmine,6
Nigloland,,6.20,,Krampus,6
Nigloland,,3.30,,Noisette,6
Nigloland,,4.20,,Spatiale,6
Skyline Park,,4.30,,Nostalgiche Achterbahn,5
Skyline Park,,4.30,,Sky Dragster,5
Skyline Park,,2.20,,Sky Rider,5
Skyline Park,,2.30,,Sky Spin,5
Skyline Park,,6.90,,Sky Wheel,5
PowerPark,,3.00,,Cobra,6
PowerPark,,2.80,,Joyride,6
PowerPark,,9.30,,Junker,6
PowerPark,,1.60,,Neo's Twister,6
PowerPark,,7.20,,Pitt's Special,6
PowerPark,,7.60,,Thunderbird,6
Grona Lund,,5.90,,Insane,6
Grona Lund,,7.50,,Jetline,6
Grona Lund,,5.00,,Kvasten,6
Grona Lund,,9.00,,Monster,6
Grona Lund,,7.70,,Twister,6
Grona Lund,,6.30,,Vilda Musen,6
Wiener Prater,,4.50,,Boomerang,10
Wiener Prater,,1.30,,Dizzy Mouse,10
Wiener Prater,,7.10,,Gesengte Sau,10
Wiener Prater,,3.80,,Hochschaubahn,10
Wiener Prater,,4.50,,Insider,10
Wiener Prater,,2.50,,Maskerade,10
Wiener Prater,,5.80,,Megablitz,10
Wiener Prater,,3.10,,Super 8er Bahn,10
Wiener Prater,,0.20,,Volare,10
Wiener Prater,,0.90,,Wilde Maus,10
Walibi Rhone-Alpes,,1.00,,Coccinelle,5
Walibi Rhone-Alpes,,3.30,,Generator,5
Walibi Rhone-Alpes,,8.80,,Mystic,5
Walibi Rhone-Alpes,,7.80,,Timber,5
Walibi Rhone-Alpes,,1.50,,Woodstock Express,5
Freizeit-Land Geiselwind,,0.60,,Blauer Enzian,5
Freizeit-Land Geiselwind,,0.50,,Cobra,5
Freizeit-Land Geiselwind,,3.00,,Drachen Hohle,5
Freizeit-Land Geiselwind,,1.70,,Fluch des Kraken,5
Freizeit-Land Geiselwind,,1.00,,Piraten Spinner,5
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
